videoId,quality_ratio,avg_quality,comments
0,5.1,0.2978983050847458,118
6,0.0,0.36,1
8,0.0,0.24,2
11,18.8,0.36991666666666667,96
19,0.0,0.225,1
22,0.0,0.3,1
25,0.0,0.25,3
26,50.0,0.5015000000000001,2
29,0.0,0.225,2
33,0.0,0.32039212328767125,584
37,22.2,0.41988888888888887,9
41,0.0,0.255,1
44,0.0,0.29471428571428576,7
45,4.3,0.2849685463304052,3529
47,0.0,0.255,1
50,0.0,0.23399999999999999,2
51,0.0,0.26999999999999996,3
54,4.3,0.3000434782608696,23
62,0.0,0.255,2
67,22.6,0.3544838709677419,93
68,0.0,0.2445,4
69,0.0,0.388,1
74,10.0,0.3452,20
77,0.0,0.24,2
83,50.0,0.44,2
84,33.3,0.4375555555555556,9
88,0.0,0.378,1
90,0.0,0.318,1
94,0.0,0.285125,16
98,0.0,0.2251,20
100,0.0,0.249,2
104,0.0,0.246,6
111,0.0,0.25153846153846154,13
118,0.0,0.2813333333333334,3
119,7.7,0.3284615384615384,13
127,0.0,0.24300000000000002,5
134,0.0,0.2894,5
138,0.0,0.261375,8
140,0.0,0.225,1
143,0.0,0.292,3
148,0.0,0.255,1
150,25.0,0.41675,4
151,12.5,0.3328125,16
154,0.0,0.3024,10
159,0.0,0.255,3
160,0.0,0.255,1
162,50.0,0.5365,4
163,0.0,0.29442857142857143,7
166,0.0,0.33899999999999997,2
167,0.0,0.318,1
170,0.0,0.378,1
176,0.0,0.225,1
177,50.0,0.534,10
180,0.0,0.30833333333333335,12
182,0.0,0.36,1
187,0.0,0.225,1
189,0.0,0.28,2
190,0.0,0.318,1
193,0.0,0.225,1
200,10.3,0.3485897435897436,39
201,1.8,0.2522162162162162,111
205,48.5,0.517969696969697,33
210,33.3,0.4533333333333333,3
213,50.0,0.4871666666666667,6
216,0.0,0.36,1
221,0.0,0.225,1
229,33.3,0.4643333333333333,3
230,0.0,0.225,1
231,0.0,0.225,1
239,0.0,0.0,1
240,6.2,0.29284375,32
242,50.0,0.5113067010309278,388
243,0.0,0.225,1
244,0.0,0.225,2
250,0.0,0.3,1
252,50.0,0.544,2
266,0.0,0.243,1
268,0.0,0.225,5
269,0.0,0.243,1
270,0.0,0.26933333333333337,3
271,0.0,0.3403333333333333,3
272,0.0,0.36,1
274,0.0,0.255,1
283,0.0,0.383,2
293,0.0,0.255,1
294,0.0,0.225,1
297,0.0,0.202,4
298,100.0,0.718,1
309,0.0,0.388,1
310,0.0,0.255,1
311,100.0,0.76,1
315,0.0,0.306,3
322,0.0,0.225,1
326,0.0,0.225,2
334,0.0,0.243,2
336,0.0,0.255,3
341,0.0,0.36,1
347,0.0,0.2625,2
348,0.0,0.225,1
360,0.0,0.3,1
361,0.0,0.3,1
367,0.0,0.225,3
369,10.1,0.31826418439716314,564
371,0.0,0.257,3
373,0.0,0.34340000000000004,5
375,14.3,0.35814285714285715,7
377,0.0,0.243,1
385,10.0,0.3102,10
387,0.0,0.3105,2
390,0.0,0.28173333333333334,15
393,0.0,0.23518867924528303,53
398,0.0,0.243,2
402,0.0,0.243,1
408,0.0,0.225,1
409,0.0,0.3205,2
413,0.0,0.225,1
419,0.0,0.24333333333333332,9
424,0.0,0.225,1
427,0.0,0.225,1
431,0.0,0.225,1
433,18.2,0.32736363636363636,11
437,0.0,0.255,1
448,0.0,0.393,1
455,0.0,0.277,4
459,0.0,0.255,1
460,0.0,0.3,1
461,0.0,0.318,1
465,41.7,0.516,12
467,0.0,0.225,1
474,22.2,0.40355555555555556,9
480,0.0,0.249,4
488,0.0,0.253,1
490,6.7,0.3655333333333333,15
493,0.0,0.26,2
500,2.1,0.27775257731958763,97
502,0.0,0.243,1
504,0.0,0.0,1
507,0.0,0.225,1
512,0.0,0.3363333333333333,6
518,0.0,0.32,4
523,4.1,0.30442857142857144,49
527,0.0,0.266,1
531,0.0,0.225,1
543,18.8,0.3659375,16
545,0.0,0.292,3
548,0.0,0.32999999999999996,2
554,50.0,0.46900000000000003,2
555,0.0,0.25092857142857145,14
562,10.0,0.3407,10
563,0.0,0.458,2
572,0.0,0.3,1
574,0.0,0.31148648648648647,37
579,0.0,0.243,1
583,0.0,0.318,1
587,0.0,0.243,1
596,20.0,0.3458,5
599,0.0,0.225,1
600,25.0,0.34375,4
601,0.0,0.23399999999999999,2
603,0.0,0.225,1
605,42.9,0.49814285714285716,7
607,0.0,0.273,1
609,0.0,0.248,2
614,0.0,0.225,2
619,0.0,0.273,1
620,17.4,0.36817391304347824,46
624,5.6,0.3332777777777778,18
626,0.0,0.253125,8
627,0.0,0.328,1
633,0.0,0.225,1
